airfoil,Re,alpha,xfoil_converged,CL_xfoil,CD_xfoil,CL_nf,CD_nf,CD_spread5_counts
goe124,200000.0,10.0,1,1.5311,0.02603,1.5298762708080778,0.02621176874674764,10.86780633477568
s9027,5000000.0,-2.0,1,-0.2209,0.00522,-0.21815535081668336,0.005208778007813916,2.9704022742211342
s9027,5000000.0,0.0,1,0.0,0.00513,2.220446049250313e-16,0.005171167421641859,1.237530167545126
s9027,5000000.0,2.0,1,0.221,0.00522,0.2181553508166839,0.00520877800781392,2.9704022742208047
s9027,5000000.0,6.0,1,0.6761,0.00666,0.6739406005364287,0.0067323734594075995,3.475207108919161
s9027,5000000.0,10.0,1,1.0958,0.01002,1.0963850171229443,0.010463795240353216,3.6782423512355527
e71,1000000.0,-2.0,0,,,0.4532195909758793,0.0070120673164965446,5.266408557651541
e71,1000000.0,0.0,1,0.7065,0.00492,0.7166561401547595,0.004500596781895564,15.393644025833074
e71,1000000.0,2.0,1,0.9157,0.00485,0.9210066800586458,0.004725325557850792,15.019807739788515
e71,1000000.0,6.0,1,1.27,0.01635,1.2834327384872553,0.01449350258367626,3.2800409853986876
e71,1000000.0,10.0,0,,,1.5070630649056997,0.04792542374336824,163.79541575532377
e71,200000.0,-2.0,1,0.1614,0.0236,0.19398636782983503,0.018398225125059352,25.240673709220374
e71,200000.0,0.0,1,0.4764,0.01366,0.5212543369203215,0.01299978228726139,27.780815058149248
e71,200000.0,2.0,1,0.7891,0.01233,0.8224098576706531,0.012996916147631246,32.03504092145697
e71,200000.0,6.0,1,1.2084,0.02221,1.216163626165088,0.02126879982728297,19.608077629011124
e71,200000.0,10.0,0,,,1.323548359087059,0.07734939995308615,237.43177821122964
hq1585,1000000.0,-2.0,1,-0.0139,0.00573,-0.0173012642167385,0.005393464695718619,12.052050776146388
hq1585,1000000.0,0.0,1,0.2055,0.00483,0.2041558349947028,0.004959200790333074,4.599362692687577
hq1585,1000000.0,2.0,1,0.4233,0.00531,0.42550838267697566,0.004982152351106384,7.95830646292686
hq1585,1000000.0,6.0,1,0.8399,0.01056,0.8417504505094744,0.010295454286136482,6.45322961579476
hq1585,1000000.0,10.0,1,1.1829,0.02398,1.211153377779103,0.02006793673531612,6.040660959255664
goe379,200000.0,-2.0,0,,,0.2766540792322796,0.026053486462609254,30.542161843442017
goe379,200000.0,0.0,1,0.4832,0.01252,0.48523150359628076,0.012519484667869485,13.629836520208487
goe379,200000.0,2.0,1,0.7368,0.01,0.7358288208551236,0.010093248226201959,4.88639030852684
goe379,200000.0,6.0,1,1.1043,0.0138,1.1128523238223107,0.013855410383783032,1.0638964622392173
goe379,200000.0,10.0,0,,,1.252200627855058,0.03532729508981451,56.47940741799147
hq1585,200000.0,-2.0,1,-0.0621,0.01016,-0.049184667580464525,0.009952633946858844,12.112582562514417
hq1585,200000.0,0.0,1,0.1948,0.00946,0.2075542225754461,0.009025409107642757,12.043371757005893
hq1585,200000.0,2.0,1,0.4459,0.0091,0.44579565556363,0.009106233742428412,7.3244656903411265
hq1585,200000.0,6.0,1,0.812,0.01614,0.8228469489654471,0.015228058231552861,17.467130923239214
hq1585,200000.0,10.0,1,1.0391,0.05379,1.075848342719957,0.05116938125183432,137.83389365606996
hq1585,5000000.0,-2.0,1,-0.0149,0.00513,-0.015483054578324329,0.0048345207844793766,4.381339628488174
hq1585,5000000.0,0.0,1,0.2055,0.00409,0.20502349189941083,0.003973813376646623,7.3848271053557175
hq1585,5000000.0,2.0,1,0.423,0.00531,0.4231622539974156,0.004832167196112179,3.531165630398028
hq1585,5000000.0,6.0,1,0.8576,0.00807,0.8578249787340926,0.007645525115045815,2.2949467265942753
hq1585,5000000.0,10.0,1,1.2681,0.01238,1.268476487287039,0.011748322742847244,1.60793752093576
sc20402,200000.0,-2.0,1,-0.1003,0.01193,-0.10210395893792312,0.01080928023162058,12.909351226216367
sc20402,200000.0,0.0,1,0.1031,0.00646,0.11472510715045048,0.006552175298473296,24.20257151865564
sc20402,200000.0,2.0,0,,,0.33528915762313205,0.017036020052144583,24.678090770704834
sc20402,200000.0,6.0,0,,,0.7287067975526826,0.0787469217974376,97.60929438756033
sc20402,200000.0,10.0,0,,,0.8237186118626348,0.14827058584105565,22.597506589904505
goe379,1000000.0,-2.0,1,0.2649,0.01032,0.2661911636355115,0.010722701750636571,17.071589349256165
goe379,1000000.0,0.0,1,0.469,0.00733,0.46788766096697126,0.007406988796479594,3.9874283932675794
goe379,1000000.0,2.0,0,,,0.7392293804116279,0.005955889929518996,5.4956429551046915
goe379,1000000.0,6.0,0,,,1.129822160769903,0.008730284974624719,8.305467972492004
goe379,1000000.0,10.0,0,,,1.3904841472259393,0.020043904371660065,46.91136826316757
goe124,5000000.0,-2.0,1,0.3535,0.00694,0.34624627264661967,0.006228946689692882,1.887781607479832
goe124,5000000.0,0.0,1,0.5868,0.00656,0.5813671858139676,0.00618705557092288,3.4882074881868816
goe124,5000000.0,2.0,1,0.8177,0.00689,0.8130443783819072,0.006383813950610272,3.606147229132748
goe124,5000000.0,6.0,0,,,1.259421493773399,0.007985714159235206,3.5912130875681396
goe124,5000000.0,10.0,0,,,1.6755171893095753,0.012397796375649911,3.0894935461371795
s9000,200000.0,-2.0,1,0.0085,0.01041,0.022683546086604278,0.01023177965434082,12.811306395769437
